from,to
1241875,121321
1241875,220647
1241875,1483738
1241875,1032076
1241875,1506573
1241875,1465404
1241875,1198342
1241875,1409560
1241875,305276
1241875,1106269
1241875,1096752
1241875,1236723
1241875,1141104
1241875,1148491
1241875,1155031
1241875,2245
1241875,329539
1241875,1436560
121321,220647
121321,1483738
121321,1032076
121321,1506573
121321,1465404
121321,1198342
121321,1409560
121321,305276
121321,1106269
121321,1096752
121321,1236723
121321,1141104
121321,1148491
121321,1155031
121321,2245
121321,329539
121321,1436560
1237480,220647
1237480,1483738
1237480,1032076
1237480,1506573
1237480,1409560
1237480,305276
1237480,1106269
1237480,1096752
220647,1483738
220647,1032076
220647,1506573
220647,1465404
220647,1198342
220647,1409560
220647,305276
220647,1106269
220647,1096752
220647,1236723
220647,2245
220647,329539
220647,1436560
1483738,1032076
1483738,1506573
1483738,1465404
1483738,1198342
1483738,1409560
1483738,305276
1483738,1106269
1483738,1096752
1483738,1236723
1483738,1148491
1483738,2245
1483738,329539
1483738,1436560
1032076,1506573
1032076,1465404
1032076,1198342
1032076,1409560
1032076,305276
1032076,1106269
1032076,1096752
1032076,1236723
1032076,1148491
1032076,2245
1032076,329539
1032076,1436560
1506573,1465404
1506573,1198342
1506573,1409560
1506573,305276
1506573,1106269
1506573,1096752
1506573,1236723
1506573,1148491
1506573,2245
1506573,329539
1506573,1436560
1465404,1198342
1465404,1409560
1465404,305276
1465404,1106269
1465404,1096752
1465404,1236723
1465404,1141104
1465404,1148491
1465404,2245
1465404,329539
1465404,1436560
1198342,1409560
1198342,305276
1198342,1106269
1198342,1096752
1198342,1236723
1198342,1141104
1198342,1148491
1198342,1155031
1198342,2245
1198342,329539
1198342,1436560
1409560,305276
1409560,1106269
1409560,1096752
1409560,1236723
1409560,1148491
1409560,2245
1409560,329539
1409560,1436560
305276,1106269
305276,1096752
305276,1236723
305276,1148491
305276,2245
305276,329539
305276,1436560
1106269,1096752
1106269,1236723
1106269,1148491
1106269,2245
1106269,329539
1106269,1436560
1096752,1236723
1096752,1141104
1096752,1148491
1096752,2245
1096752,329539
1096752,1436560
1236723,1141104
1236723,1148491
1236723,1155031
1236723,2245
1236723,329539
1236723,1436560
1363571,1004497
1363571,455196
1363571,1325203
1363571,178986
1363571,1530325
1363571,1341804
1363571,1505322
1363571,1239723
1363571,1544727
1004497,455196
1004497,1325203
1004497,178986
1004497,1530325
1004497,1341804
1004497,1505322
1004497,1239723
1004497,1544727
455196,1325203
455196,178986
455196,1530325
455196,1341804
455196,1505322
455196,1239723
455196,1544727
1325203,178986
1325203,1530325
1325203,1341804
1325203,1505322
1325203,1239723
1325203,1544727
178986,1530325
178986,1341804
178986,1505322
178986,1239723
178986,1544727
1530325,1341804
1530325,1505322
1530325,1239723
1530325,1544727
1530325,116320
1341804,1505322
1341804,1239723
1341804,1544727
1341804,116320
1505322,1239723
1505322,1544727
1239723,1544727
1404705,116320
329522,1350971
1554151,1566068
1554151,1374042
1200304,212147
1200304,1148388
1200304,1572130
1200304,1032024
1200304,370009
1200304,1547018
1038628,1127495
1038628,212147
1038628,1032024
1038628,1082069
1038628,108073
1127495,212147
1127495,1148388
1127495,1572130
1127495,1032024
1127495,370009
1127495,1547018
1127495,1082069
212147,1148388
212147,1572130
212147,1032024
212147,370009
212147,1547018
1148388,1572130
1148388,1032024
1148388,370009
1148388,1547018
1572130,1032024
1572130,370009
1572130,1547018
1032024,370009
1032024,1547018
370009,1547018
1050561,1250481
1050561,1258472
1045383,332840
1388247,1292407
1266515,1206260
1266515,199401
1206260,1505156
1310594,209880
1310594,1089607
1310594,308288
1310594,1240755
1310594,107021
1310594,215583
1310594,1088863
1310594,1408151
1310594,27413
1310594,1200031
209880,1089607
209880,308288
209880,1240755
209880,107021
209880,215583
209880,1088863
209880,1408151
209880,27413
209880,1200031
1089607,308288
1089607,1240755
1089607,107021
1089607,215583
1089607,1088863
1089607,1408151
1089607,27413
1089607,1200031
308288,1240755
308288,107021
308288,215583
308288,1088863
308288,1408151
308288,27413
308288,1200031
1240755,107021
1240755,215583
1240755,1088863
1240755,1408151
1240755,27413
1240755,1200031
107021,215583
107021,1088863
107021,1408151
107021,27413
107021,1200031
1372290,140311
140311,304531
140311,1402437
140311,210082
1394341,1558879
1394341,1216551
1394341,1507806
1394341,1188466
1394341,1114831
1394341,1113586
1558879,1216551
1558879,1507806
1558879,1188466
1558879,1114831
1558879,1113586
155041,1014581
155041,1180615
1014581,1180615
282836,1303421
282836,159567
282836,1464752
282836,1264791
282836,1113264
1303421,159567
1303421,1464752
1303421,1113264
1248724,158438
1342667,1410990
1342667,294352
1342667,1218250
1342667,1199334
1342667,1390969
1410990,168015
1410990,1218250
1410990,1199334
1410990,1390969
182675,1400584
182675,278719
182675,1413034
182675,1448682
182675,1015576
182675,1008327
182675,1362667
182675,1288308
182675,1420411
245935,290256
245935,1001269
245935,1110313
